ds4: context buffers 1896.58 MiB (ctx=100000, backend=cuda, prefill_chunk=2048, raw_kv_rows=2304, compressed_kv_rows=25002)
ds4: metal layer stage part=decode layer=15 pos=24 tokens=1 ffn_norm=0.001 ms
ds4: metal layer stage part=decode layer=15 pos=24 tokens=1 router=0.031 ms
ds4: metal layer stage part=decode layer=15 pos=24 tokens=1 routed_moe=0.358 ms
ds4: metal layer stage part=decode layer=15 pos=24 tokens=1 shared_gate_up=0.096 ms
ds4: metal layer stage part=decode layer=15 pos=24 tokens=1 shared_down=0.053 ms
ds4: metal layer stage part=decode layer=15 pos=24 tokens=1 ffn_hc_post=0.001 ms
ds4: metal layer stage part=decode layer=16 pos=24 tokens=1 attn_hc_pre=0.028 ms
ds4: metal layer stage part=decode layer=16 pos=24 tokens=1 attn_norm=0.001 ms
ds4: metal layer stage part=decode layer=16 pos=24 tokens=1 q_path=0.217 ms
ds4: metal layer stage part=decode layer=16 pos=24 tokens=1 kv_path=0.012 ms
ds4: metal layer stage part=decode layer=16 pos=24 tokens=1 compressor_indexer=0.112 ms
ds4: metal layer stage part=decode layer=16 pos=24 tokens=1 attention=0.076 ms
ds4: metal layer stage part=decode layer=16 pos=24 tokens=1 attn_output=0.311 ms
ds4: metal layer stage part=decode layer=16 pos=24 tokens=1 attn_hc_post=0.002 ms
ds4: metal layer stage part=decode layer=16 pos=24 tokens=1 ffn_hc_pre=0.024 ms
ds4: metal layer stage part=decode layer=16 pos=24 tokens=1 ffn_norm=0.001 ms
ds4: metal layer stage part=decode layer=16 pos=24 tokens=1 router=0.030 ms
ds4: metal layer stage part=decode layer=16 pos=24 tokens=1 routed_moe=0.350 ms
ds4: metal layer stage part=decode layer=16 pos=24 tokens=1 shared_gate_up=0.093 ms
ds4: metal layer stage part=decode layer=16 pos=24 tokens=1 shared_down=0.054 ms
ds4: metal layer stage part=decode layer=16 pos=24 tokens=1 ffn_hc_post=0.001 ms
ds4: metal layer stage part=decode layer=17 pos=24 tokens=1 attn_hc_pre=0.028 ms
ds4: metal layer stage part=decode layer=17 pos=24 tokens=1 attn_norm=0.001 ms
ds4: metal layer stage part=decode layer=17 pos=24 tokens=1 q_path=0.213 ms
ds4: metal layer stage part=decode layer=17 pos=24 tokens=1 kv_path=0.012 ms
ds4: metal layer stage part=decode layer=17 pos=24 tokens=1 compressor_indexer=0.049 ms
ds4: metal layer stage part=decode layer=17 pos=24 tokens=1 attention=0.047 ms
ds4: metal layer stage part=decode layer=17 pos=24 tokens=1 attn_output=0.322 ms
ds4: metal layer stage part=decode layer=17 pos=24 tokens=1 attn_hc_post=0.001 ms
ds4: metal layer stage part=decode layer=17 pos=24 tokens=1 ffn_hc_pre=0.026 ms
ds4: metal layer stage part=decode layer=17 pos=24 tokens=1 ffn_norm=0.001 ms
ds4: metal layer stage part=decode layer=17 pos=24 tokens=1 router=0.029 ms
ds4: metal layer stage part=decode layer=17 pos=24 tokens=1 routed_moe=0.357 ms
ds4: metal layer stage part=decode layer=17 pos=24 tokens=1 shared_gate_up=0.092 ms
ds4: metal layer stage part=decode layer=17 pos=24 tokens=1 shared_down=0.056 ms
ds4: metal layer stage part=decode layer=17 pos=24 tokens=1 ffn_hc_post=0.001 ms
ds4: metal layer stage part=decode layer=18 pos=24 tokens=1 attn_hc_pre=0.030 ms
ds4: metal layer stage part=decode layer=18 pos=24 tokens=1 attn_norm=0.002 ms
ds4: metal layer stage part=decode layer=18 pos=24 tokens=1 q_path=0.216 ms
ds4: metal layer stage part=decode layer=18 pos=24 tokens=1 kv_path=0.012 ms
ds4: metal layer stage part=decode layer=18 pos=24 tokens=1 compressor_indexer=0.111 ms
ds4: metal layer stage part=decode layer=18 pos=24 tokens=1 attention=0.076 ms
ds4: metal layer stage part=decode layer=18 pos=24 tokens=1 attn_output=0.318 ms
ds4: metal layer stage part=decode layer=18 pos=24 tokens=1 attn_hc_post=0.001 ms
ds4: metal layer stage part=decode layer=18 pos=24 tokens=1 ffn_hc_pre=0.026 ms
ds4: metal layer stage part=decode layer=18 pos=24 tokens=1 ffn_norm=0.001 ms
ds4: metal layer stage part=decode layer=18 pos=24 tokens=1 router=0.028 ms
ds4: metal layer stage part=decode layer=18 pos=24 tokens=1 routed_moe=0.358 ms
ds4: metal layer stage part=decode layer=18 pos=24 tokens=1 shared_gate_up=0.090 ms
ds4: metal layer stage part=decode layer=18 pos=24 tokens=1 shared_down=0.053 ms
ds4: metal layer stage part=decode layer=18 pos=24 tokens=1 ffn_hc_post=0.002 ms
ds4: metal layer stage part=decode layer=19 pos=24 tokens=1 attn_hc_pre=0.029 ms
ds4: metal layer stage part=decode layer=19 pos=24 tokens=1 attn_norm=0.001 ms
ds4: metal layer stage part=decode layer=19 pos=24 tokens=1 q_path=0.211 ms
ds4: metal layer stage part=decode layer=19 pos=24 tokens=1 kv_path=0.015 ms
ds4: metal layer stage part=decode layer=19 pos=24 tokens=1 compressor_indexer=0.049 ms
ds4: metal layer stage part=decode layer=19 pos=24 tokens=1 attention=0.046 ms
ds4: metal layer stage part=decode layer=19 pos=24 tokens=1 attn_output=0.328 ms
