ds4-bench: context buffers 228.59 MiB (ctx=2051, backend=cuda, prefill_chunk=2048, raw_kv_rows=2304, compressed_kv_rows=514)
ds4: metal layer stage part=decode layer=7 pos=2048 tokens=1 attn_hc_post=0.001 ms
ds4: metal layer stage part=decode layer=7 pos=2048 tokens=1 ffn_hc_pre=0.137 ms
ds4: metal layer stage part=decode layer=7 pos=2048 tokens=1 ffn_norm=0.001 ms
ds4: metal layer stage part=decode layer=7 pos=2048 tokens=1 router=0.031 ms
ds4: metal layer stage part=decode layer=7 pos=2048 tokens=1 routed_moe=0.344 ms
ds4: metal layer stage part=decode layer=7 pos=2048 tokens=1 shared_gate_up=0.094 ms
ds4: metal layer stage part=decode layer=7 pos=2048 tokens=1 shared_down=0.053 ms
ds4: metal layer stage part=decode layer=7 pos=2048 tokens=1 ffn_hc_post=0.001 ms
ds4: metal layer stage part=decode layer=8 pos=2048 tokens=1 attn_hc_pre=0.103 ms
ds4: metal layer stage part=decode layer=8 pos=2048 tokens=1 attn_norm=0.001 ms
ds4: metal layer stage part=decode layer=8 pos=2048 tokens=1 q_path=0.281 ms
ds4: metal layer stage part=decode layer=8 pos=2048 tokens=1 kv_path=0.018 ms
ds4: metal layer stage part=decode layer=8 pos=2048 tokens=1 compressor_indexer=0.187 ms
ds4: metal layer stage part=decode layer=8 pos=2048 tokens=1 attention=0.427 ms
ds4: metal layer stage part=decode layer=8 pos=2048 tokens=1 attn_output=0.333 ms
ds4: metal layer stage part=decode layer=8 pos=2048 tokens=1 attn_hc_post=0.001 ms
ds4: metal layer stage part=decode layer=8 pos=2048 tokens=1 ffn_hc_pre=0.070 ms
ds4: metal layer stage part=decode layer=8 pos=2048 tokens=1 ffn_norm=0.001 ms
ds4: metal layer stage part=decode layer=8 pos=2048 tokens=1 router=0.029 ms
ds4: metal layer stage part=decode layer=8 pos=2048 tokens=1 routed_moe=0.350 ms
ds4: metal layer stage part=decode layer=8 pos=2048 tokens=1 shared_gate_up=0.093 ms
ds4: metal layer stage part=decode layer=8 pos=2048 tokens=1 shared_down=0.056 ms
ds4: metal layer stage part=decode layer=8 pos=2048 tokens=1 ffn_hc_post=0.001 ms
ds4: metal layer stage part=decode layer=9 pos=2048 tokens=1 attn_hc_pre=0.075 ms
ds4: metal layer stage part=decode layer=9 pos=2048 tokens=1 attn_norm=0.001 ms
ds4: metal layer stage part=decode layer=9 pos=2048 tokens=1 q_path=0.238 ms
ds4: metal layer stage part=decode layer=9 pos=2048 tokens=1 kv_path=0.019 ms
ds4: metal layer stage part=decode layer=9 pos=2048 tokens=1 compressor_indexer=0.085 ms
ds4: metal layer stage part=decode layer=9 pos=2048 tokens=1 attention=0.094 ms
ds4: metal layer stage part=decode layer=9 pos=2048 tokens=1 attn_output=0.350 ms
ds4: metal layer stage part=decode layer=9 pos=2048 tokens=1 attn_hc_post=0.001 ms
ds4: metal layer stage part=decode layer=9 pos=2048 tokens=1 ffn_hc_pre=0.068 ms
ds4: metal layer stage part=decode layer=9 pos=2048 tokens=1 ffn_norm=0.001 ms
ds4: metal layer stage part=decode layer=9 pos=2048 tokens=1 router=0.029 ms
ds4: metal layer stage part=decode layer=9 pos=2048 tokens=1 routed_moe=0.355 ms
ds4: metal layer stage part=decode layer=9 pos=2048 tokens=1 shared_gate_up=0.095 ms
ds4: metal layer stage part=decode layer=9 pos=2048 tokens=1 shared_down=0.054 ms
ds4: metal layer stage part=decode layer=9 pos=2048 tokens=1 ffn_hc_post=0.001 ms
ds4: metal layer stage part=decode layer=10 pos=2048 tokens=1 attn_hc_pre=0.072 ms
ds4: metal layer stage part=decode layer=10 pos=2048 tokens=1 attn_norm=0.001 ms
ds4: metal layer stage part=decode layer=10 pos=2048 tokens=1 q_path=0.232 ms
ds4: metal layer stage part=decode layer=10 pos=2048 tokens=1 kv_path=0.019 ms
ds4: metal layer stage part=decode layer=10 pos=2048 tokens=1 compressor_indexer=0.189 ms
ds4: metal layer stage part=decode layer=10 pos=2048 tokens=1 attention=0.427 ms
ds4: metal layer stage part=decode layer=10 pos=2048 tokens=1 attn_output=0.336 ms
ds4: metal layer stage part=decode layer=10 pos=2048 tokens=1 attn_hc_post=0.001 ms
ds4: metal layer stage part=decode layer=10 pos=2048 tokens=1 ffn_hc_pre=0.067 ms
ds4: metal layer stage part=decode layer=10 pos=2048 tokens=1 ffn_norm=0.001 ms
ds4: metal layer stage part=decode layer=10 pos=2048 tokens=1 router=0.028 ms
ds4: metal layer stage part=decode layer=10 pos=2048 tokens=1 routed_moe=0.361 ms
ds4: metal layer stage part=decode layer=10 pos=2048 tokens=1 shared_gate_up=0.100 ms
ds4: metal layer stage part=decode layer=10 pos=2048 tokens=1 shared_down=0.053 ms
ds4: metal layer stage part=decode layer=10 pos=2048 tokens=1 ffn_hc_post=0.001 ms
ds4: metal layer stage part=decode layer=11 pos=2048 tokens=1 attn_hc_pre=0.075 ms
ds4: metal layer stage part=decode layer=11 pos=2048 tokens=1 attn_norm=0.001 ms
ds4: metal layer stage part=decode layer=11 pos=2048 tokens=1 q_path=0.231 ms
ds4: metal layer stage part=decode layer=11 pos=2048 tokens=1 kv_path=0.019 ms
ds4: metal layer stage part=decode layer=11 pos=2048 tokens=1 compressor_indexer=0.083 ms
ds4: metal layer stage part=decode layer=11 pos=2048 tokens=1 attention=0.093 ms
ds4: metal layer stage part=decode layer=11 pos=2048 tokens=1 attn_output=0.342 ms
ds4: metal layer stage part=decode layer=11 pos=2048 tokens=1 attn_hc_post=0.001 ms
ds4: metal layer stage part=decode layer=11 pos=2048 tokens=1 ffn_hc_pre=0.072 ms
ds4: metal layer stage part=decode layer=11 pos=2048 tokens=1 ffn_norm=0.001 ms
ds4: metal layer stage part=decode layer=11 pos=2048 tokens=1 router=0.029 ms
ds4: metal layer stage part=decode layer=11 pos=2048 tokens=1 routed_moe=0.356 ms
ds4: metal layer stage part=decode layer=11 pos=2048 tokens=1 shared_gate_up=0.096 ms
ds4: metal layer stage part=decode layer=11 pos=2048 tokens=1 shared_down=0.054 ms
ds4: metal layer stage part=decode layer=11 pos=2048 tokens=1 ffn_hc_post=0.001 ms
ds4: metal layer stage part=decode layer=12 pos=2048 tokens=1 attn_hc_pre=0.072 ms
ds4: metal layer stage part=decode layer=12 pos=2048 tokens=1 attn_norm=0.001 ms
ds4: metal layer stage part=decode layer=12 pos=2048 tokens=1 q_path=0.233 ms
ds4: metal layer stage part=decode layer=12 pos=2048 tokens=1 kv_path=0.019 ms
ds4: metal layer stage part=decode layer=12 pos=2048 tokens=1 compressor_indexer=0.186 ms
ds4: metal layer stage part=decode layer=12 pos=2048 tokens=1 attention=0.427 ms
ds4: metal layer stage part=decode layer=12 pos=2048 tokens=1 attn_output=0.331 ms
ds4: metal layer stage part=decode layer=12 pos=2048 tokens=1 attn_hc_post=0.001 ms
ds4: metal layer stage part=decode layer=12 pos=2048 tokens=1 ffn_hc_pre=0.069 ms
ds4: metal layer stage part=decode layer=12 pos=2048 tokens=1 ffn_norm=0.001 ms
ds4: metal layer stage part=decode layer=12 pos=2048 tokens=1 router=0.027 ms
ds4: metal layer stage part=decode layer=12 pos=2048 tokens=1 routed_moe=0.364 ms
ds4: metal layer stage part=decode layer=12 pos=2048 tokens=1 shared_gate_up=0.098 ms
ds4: metal layer stage part=decode layer=12 pos=2048 tokens=1 shared_down=0.054 ms
ds4: metal layer stage part=decode layer=12 pos=2048 tokens=1 ffn_hc_post=0.001 ms
ds4: metal layer stage part=decode layer=13 pos=2048 tokens=1 attn_hc_pre=0.074 ms
ds4: metal layer stage part=decode layer=13 pos=2048 tokens=1 attn_norm=0.002 ms
ds4: metal layer stage part=decode layer=13 pos=2048 tokens=1 q_path=0.236 ms
ds4: metal layer stage part=decode layer=13 pos=2048 tokens=1 kv_path=0.019 ms
ds4: metal layer stage part=decode layer=13 pos=2048 tokens=1 compressor_indexer=0.083 ms
ds4: metal layer stage part=decode layer=13 pos=2048 tokens=1 attention=0.096 ms
ds4: metal layer stage part=decode layer=13 pos=2048 tokens=1 attn_output=0.336 ms
ds4: metal layer stage part=decode layer=13 pos=2048 tokens=1 attn_hc_post=0.001 ms
ds4: metal layer stage part=decode layer=13 pos=2048 tokens=1 ffn_hc_pre=0.069 ms
ds4: metal layer stage part=decode layer=13 pos=2048 tokens=1 ffn_norm=0.001 ms
ds4: metal layer stage part=decode layer=13 pos=2048 tokens=1 router=0.029 ms
ds4: metal layer stage part=decode layer=13 pos=2048 tokens=1 routed_moe=0.355 ms
ds4: metal layer stage part=decode layer=13 pos=2048 tokens=1 shared_gate_up=0.099 ms
ds4: metal layer stage part=decode layer=13 pos=2048 tokens=1 shared_down=0.052 ms
ds4: metal layer stage part=decode layer=13 pos=2048 tokens=1 ffn_hc_post=0.001 ms
ds4: metal layer stage part=decode layer=14 pos=2048 tokens=1 attn_hc_pre=0.072 ms
ds4: metal layer stage part=decode layer=14 pos=2048 tokens=1 attn_norm=0.001 ms
ds4: metal layer stage part=decode layer=14 pos=2048 tokens=1 q_path=0.239 ms
ds4: metal layer stage part=decode layer=14 pos=2048 tokens=1 kv_path=0.020 ms
ds4: metal layer stage part=decode layer=14 pos=2048 tokens=1 compressor_indexer=0.189 ms
ds4: metal layer stage part=decode layer=14 pos=2048 tokens=1 attention=0.428 ms
ds4: metal layer stage part=decode layer=14 pos=2048 tokens=1 attn_output=0.337 ms
ds4: metal layer stage part=decode layer=14 pos=2048 tokens=1 attn_hc_post=0.001 ms
ds4: metal layer stage part=decode layer=14 pos=2048 tokens=1 ffn_hc_pre=0.071 ms
ds4: metal layer stage part=decode layer=14 pos=2048 tokens=1 ffn_norm=0.001 ms
ds4: metal layer stage part=decode layer=14 pos=2048 tokens=1 router=0.029 ms
ds4: metal layer stage part=decode layer=14 pos=2048 tokens=1 routed_moe=0.357 ms
ds4: metal layer stage part=decode layer=14 pos=2048 tokens=1 shared_gate_up=0.093 ms
ds4: metal layer stage part=decode layer=14 pos=2048 tokens=1 shared_down=0.056 ms
ds4: metal layer stage part=decode layer=14 pos=2048 tokens=1 ffn_hc_post=0.001 ms
ds4: metal layer stage part=decode layer=15 pos=2048 tokens=1 attn_hc_pre=0.074 ms
ds4: metal layer stage part=decode layer=15 pos=2048 tokens=1 attn_norm=0.001 ms
ds4: metal layer stage part=decode layer=15 pos=2048 tokens=1 q_path=0.235 ms
ds4: metal layer stage part=decode layer=15 pos=2048 tokens=1 kv_path=0.019 ms
ds4: metal layer stage part=decode layer=15 pos=2048 tokens=1 compressor_indexer=0.081 ms
ds4: metal layer stage part=decode layer=15 pos=2048 tokens=1 attention=0.093 ms
ds4: metal layer stage part=decode layer=15 pos=2048 tokens=1 attn_output=0.331 ms
ds4: metal layer stage part=decode layer=15 pos=2048 tokens=1 attn_hc_post=0.001 ms
ds4: metal layer stage part=decode layer=15 pos=2048 tokens=1 ffn_hc_pre=0.067 ms
ds4: metal layer stage part=decode layer=15 pos=2048 tokens=1 ffn_norm=0.001 ms
ds4: metal layer stage part=decode layer=15 pos=2048 tokens=1 router=0.031 ms
ds4: metal layer stage part=decode layer=15 pos=2048 tokens=1 routed_moe=0.358 ms
ds4: metal layer stage part=decode layer=15 pos=2048 tokens=1 shared_gate_up=0.094 ms
ds4: metal layer stage part=decode layer=15 pos=2048 tokens=1 shared_down=0.054 ms
ds4: metal layer stage part=decode layer=15 pos=2048 tokens=1 ffn_hc_post=0.001 ms
ds4: metal layer stage part=decode layer=16 pos=2048 tokens=1 attn_hc_pre=0.073 ms
ds4: metal layer stage part=decode layer=16 pos=2048 tokens=1 attn_norm=0.001 ms
ds4: metal layer stage part=decode layer=16 pos=2048 tokens=1 q_path=0.234 ms
ds4: metal layer stage part=decode layer=16 pos=2048 tokens=1 kv_path=0.019 ms
ds4: metal layer stage part=decode layer=16 pos=2048 tokens=1 compressor_indexer=0.189 ms
ds4: metal layer stage part=decode layer=16 pos=2048 tokens=1 attention=0.428 ms
ds4: metal layer stage part=decode layer=16 pos=2048 tokens=1 attn_output=0.329 ms
ds4: metal layer stage part=decode layer=16 pos=2048 tokens=1 attn_hc_post=0.001 ms
ds4: metal layer stage part=decode layer=16 pos=2048 tokens=1 ffn_hc_pre=0.067 ms
ds4: metal layer stage part=decode layer=16 pos=2048 tokens=1 ffn_norm=0.001 ms
ds4: metal layer stage part=decode layer=16 pos=2048 tokens=1 router=0.031 ms
ds4: metal layer stage part=decode layer=16 pos=2048 tokens=1 routed_moe=0.354 ms
ds4: metal layer stage part=decode layer=16 pos=2048 tokens=1 shared_gate_up=0.099 ms
ds4: metal layer stage part=decode layer=16 pos=2048 tokens=1 shared_down=0.053 ms
ds4: metal layer stage part=decode layer=16 pos=2048 tokens=1 ffn_hc_post=0.001 ms
ds4: metal layer stage part=decode layer=17 pos=2048 tokens=1 attn_hc_pre=0.075 ms
ds4: metal layer stage part=decode layer=17 pos=2048 tokens=1 attn_norm=0.001 ms
ds4: metal layer stage part=decode layer=17 pos=2048 tokens=1 q_path=0.233 ms
ds4: metal layer stage part=decode layer=17 pos=2048 tokens=1 kv_path=0.019 ms
